,F1,,,,,,Accuracy,,,,,,Recall,,,,,,Precision,,,,,
,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA
bug,62.94%,79.53%,58.53%,74.35%,78.50%,80.32%,68.67%,81.48%,62.86%,76.84%,80.77%,81.86%,57.36%,77.58%,56.51%,72.36%,75.68%,79.83%,69.73%,81.58%,60.70%,76.45%,81.53%,80.82%
enhancement,78.63%,83.36%,72.90%,80.79%,82.78%,83.85%,69.82%,78.34%,64.81%,72.79%,77.53%,79.01%,88.54%,86.48%,75.44%,91.21%,86.11%,86.85%,70.72%,80.45%,70.52%,72.51%,79.70%,81.04%
question,3.05%,9.15%,21.52%,30.70%,39.76%,46.23%,85.59%,86.00%,80.16%,87.11%,86.88%,88.65%,1.57%,4.88%,18.85%,19.79%,30.02%,33.80%,52.86%,71.88%,25.07%,68.43%,58.87%,73.09%
ui,51.35%,80.90%,51.79%,76.96%,80.03%,81.93%,73.82%,88.44%,66.99%,83.63%,86.95%,88.48%,40.90%,72.43%,52.48%,80.92%,77.42%,77.28%,68.98%,91.61%,51.11%,73.38%,82.83%,87.17%
design,33.38%,78.12%,43.11%,64.79%,75.20%,78.18%,72.19%,87.28%,67.85%,78.68%,85.57%,86.92%,22.04%,71.84%,38.53%,62.05%,69.22%,74.12%,68.78%,85.61%,48.92%,67.79%,82.32%,82.70%
database,9.14%,88.92%,20.45%,85.96%,88.88%,87.69%,91.11%,98.13%,87.75%,97.68%,98.09%,97.90%,4.79%,80.63%,16.87%,75.97%,81.62%,80.24%,98.65%,99.11%,25.96%,98.97%,97.57%,96.68%
client,16.53%,66.82%,36.82%,54.46%,68.87%,69.55%,72.84%,85.08%,68.73%,81.46%,83.98%,85.31%,9.31%,51.98%,31.52%,38.35%,61.31%,58.07%,73.91%,93.52%,44.26%,93.88%,78.54%,86.70%
server,22.68%,70.82%,38.78%,68.80%,72.40%,73.79%,74.05%,87.05%,67.51%,83.90%,86.08%,87.35%,13.67%,56.44%,36.96%,63.77%,65.57%,63.97%,66.49%,95.03%,40.78%,74.70%,80.82%,87.19%
document,15.51%,79.78%,28.88%,76.53%,78.17%,79.68%,87.58%,95.34%,83.64%,94.42%,94.50%,95.23%,8.46%,68.29%,24.66%,67.56%,73.07%,69.38%,92.54%,95.91%,34.83%,88.24%,84.04%,93.56%
security,15.96%,74.01%,27.47%,64.90%,71.38%,72.89%,95.29%,97.75%,93.76%,97.08%,97.47%,97.58%,8.81%,63.21%,23.28%,53.08%,62.12%,64.05%,84.88%,89.27%,33.51%,83.49%,83.88%,84.55%
performance,2.38%,74.64%,23.34%,72.56%,78.50%,75.98%,88.43%,95.05%,83.33%,94.38%,95.36%,94.98%,1.21%,62.61%,21.80%,63.93%,72.88%,68.19%,65.71%,92.39%,25.11%,83.90%,85.06%,85.76%
Micro,50.34%,76.56%,49.61%,72.03%,76.51%,78.13%,79.94%,89.08%,75.22%,86.18%,88.47%,89.39%,39.21%,68.75%,47.05%,86.18%,72.43%,73.12%,70.30%,86.37%,52.46%,75.78%,81.08%,83.88%
Macro,28.32%,71.46%,38.51%,68.25%,74.04%,75.46%,79.94%,89.08%,75.22%,86.18%,88.47%,89.39%,23.33%,63.31%,36.08%,62.63%,68.64%,68.71%,73.93%,88.76%,41.89%,80.16%,81.38%,85.39%
